id,nombre,email,curso,matematicas,criptografia,blockchain,mineria_datos,learning_analytics,participacion,horas_plataforma,tareas_entregadas,asistencia,foros,riesgo_real,nota_media,estado
1,Silvia Moreno,silvia.moreno@email.com,Analisis de Datos II,4.2,7.0,4.9,5.4,3.5,91,12,9,71,9,0,5.0,Estable
2,Alberto Vidal,alberto.vidal@email.com,Analisis de Datos II,5.5,2.4,8.1,2.8,8.9,61,12,7,88,10,0,5.54,Estable
3,Teresa Lopez,teresa.lopez@email.com,Analisis de Datos II,9.1,6.1,8.1,3.8,9.6,26,33,8,37,1,1,7.34,En riesgo
4,Oscar Pastor,oscar.pastor@email.com,Analisis de Datos II,2.3,8.9,4.2,3.7,4.9,41,32,9,62,2,1,4.8,En riesgo
5,Oscar Pastor,oscar.pastor@email.com,Analisis de Datos II,3.0,9.8,6.7,8.3,9.5,30,40,10,58,3,1,7.46,En riesgo
6,Ivan Lopez,ivan.lopez@email.com,Analisis de Datos II,6.1,10.0,8.2,5.8,9.4,45,36,7,47,2,1,7.9,En riesgo
7,Daniel Cano,daniel.cano@email.com,Analisis de Datos II,4.8,9.4,7.8,7.7,7.1,21,24,10,70,10,1,7.36,En riesgo
8,Daniel Fuentes,daniel.fuentes@email.com,Analisis de Datos II,8.7,6.8,6.0,7.1,3.2,80,47,10,95,0,0,6.36,Estable
9,Paula Leon,paula.leon@email.com,Analisis de Datos II,4.1,7.3,2.9,6.0,7.0,90,17,5,52,5,0,5.46,Estable
10,Oscar Garcia,oscar.garcia@email.com,Analisis de Datos II,5.1,3.0,8.0,5.4,9.6,38,18,8,85,5,1,6.22,En riesgo
11,Elena Lopez,elena.lopez@email.com,Analisis de Datos II,5.9,4.3,7.9,8.1,8.8,93,28,5,48,10,0,7.0,Estable
12,Beatriz Gomez,beatriz.gomez@email.com,Analisis de Datos II,8.3,9.0,4.7,8.6,5.9,39,40,7,94,7,1,7.3,En riesgo
13,Laura Lopez,laura.lopez@email.com,Analisis de Datos II,5.6,10.0,2.6,3.9,6.2,84,43,5,70,1,0,5.66,Estable
14,Javier Navarro,javier.navarro@email.com,Analisis de Datos II,6.8,6.5,4.8,6.6,9.0,85,12,8,79,7,0,6.74,Estable
