id,nombre,email,curso,matematicas,criptografia,blockchain,mineria_datos,learning_analytics,participacion,horas_plataforma,tareas_entregadas,asistencia,foros,riesgo_real,nota_media,estado,nombre_cifrado,email_cifrado
1,Silvia Moreno,silvia.moreno@email.com,Analisis de Datos II,4.2,7.0,4.9,5.4,3.5,91,12,9,71,9,0,5.0,Estable,gAAAAABqBLwXfVtVBP1D8TeSiWrL8TnT8dorNVKKGmkzmotCgCBppn3XhJfUb8lWWSVct2qHJXpqjTHxFni2wccOOa2bq0tA9g==,gAAAAABqBLwX_87UKRt7-Sy-uxh613E7PU_ZgqR_R90guQLC9lELKUfj3536ej1Kuzl85cpjhHVlymOQCXT3r-hdfnhM-QB-ghqWLcvMNwk2YxWPfyFHSEk=
2,Alberto Vidal,alberto.vidal@email.com,Analisis de Datos II,5.5,2.4,8.1,2.8,8.9,61,12,7,88,10,0,5.54,Estable,gAAAAABqBLwXmevxzs4mMDYio3Hvp_wTDAnQiWlcA3VsmoFR1P_WRIrNbHBg_edYaz2Y86P4ruQ5qtix3YCCf_16cLd1UMgO9Q==,gAAAAABqBLwXLCpGuDWZYyDNgQ-q1mRLQxHMTdHYq82U5BkznvBtuDOn8mw8SOyV-_j9H9avvqpZuWxrHLrnCWBulKKdH0A1ibq8IlSFz6mE0m6gK1H8tec=
3,Teresa Lopez,teresa.lopez@email.com,Analisis de Datos II,9.1,6.1,8.1,3.8,9.6,26,33,8,37,1,1,7.34,En riesgo,gAAAAABqBLwXqkfx-k7PSndEAdy5B0SY0EpndbnOAfJnN1sT-5z0ycJ4VYN-XG1Lm9tgZzRkc5vw6yQ-EGp75ohBgVutZD6oXA==,gAAAAABqBLwXYuLVsIIZC2lqXEuLqSEOLWc4L_kxgvMQ-U7Dd7DXhoF3PeIbW4iiFtaNc0-bOv3nTREKce5CIm2dYisXNnm1JAZUJTaV2K4nzcslYSLj3bI=
4,Oscar Pastor,oscar.pastor@email.com,Analisis de Datos II,2.3,8.9,4.2,3.7,4.9,41,32,9,62,2,1,4.8,En riesgo,gAAAAABqBLwXtD04vaDb79runO1jlD_affNgm3QTWQzPcXBumnXPkP9LaZrm011rd4HGt6uYACZFOUX4QUCW_-yr38jNxnPjDg==,gAAAAABqBLwX2NXjlujT3SYqofbvnGe-4JtWeo01zwhppLcHmZm5GrPNgZdYbu0nI7coJJgv0dVLfSnV6tN8bktscfXKvB1DDDDrJBPMMwZgZIJuQHU-7X8=
5,Oscar Pastor,oscar.pastor@email.com,Analisis de Datos II,3.0,9.8,6.7,8.3,9.5,30,40,10,58,3,1,7.46,En riesgo,gAAAAABqBLwXTFLhNwMI8Rt5haoRft94qy1IHdegqsCVWr3XfbLm7cvZUCpEnAWxu9LlY-FdvnBnjj5YJ1BXRdIRWd_gCYac0Q==,gAAAAABqBLwXzrmb3Nj-SGcl_J64WmtNvqCmz3YndE0BBKFUyxJkqbbfq_deyh05ZmHSnA7se31yxzfu54kXu9w0jN28UG-qCM83xIn3oobuTC_RQZaiqnw=
6,Ivan Lopez,ivan.lopez@email.com,Analisis de Datos II,6.1,10.0,8.2,5.8,9.4,45,36,7,47,2,1,7.9,En riesgo,gAAAAABqBLwXhYpJtzd-GIK8avtLGxYsVsWVgVGQSQUZ3q9Ir8OyghHaanRM8w26ebUkY9YAGCJ7svzXcDL7nAISjhKhX7OUOw==,gAAAAABqBLwXQsTecnotlYT7m1xA7cfANYYCz5RnQZ53jZjEy1fhwkMbtr1fogclqjMACIdu4cAwakbpoqffveBDU2lzq7TUfDpvAd93c_ZWA-X8gHsIYCE=
7,Daniel Cano,daniel.cano@email.com,Analisis de Datos II,4.8,9.4,7.8,7.7,7.1,21,24,10,70,10,1,7.36,En riesgo,gAAAAABqBLwXm77A-6lePdxaTXZYlrRJTsGa8rRdhks8GqwEl2owvww_Keql5FuchzRCuJ7t97mU1J1ywzgQ-5-IyfXn8NUWvw==,gAAAAABqBLwX1hhKEFX-0jTfpSGa8M4c1YxMX5zeWpT6ta8l2FI0Xf9Yi8adPJ5Ol0WFZ2fo41IzyJNr6Ch4a4Ij9u_3nDgh2Y8tetAM9_jxJ-nJf8Rk4TI=
8,Daniel Fuentes,daniel.fuentes@email.com,Analisis de Datos II,8.7,6.8,6.0,7.1,3.2,80,47,10,95,0,0,6.36,Estable,gAAAAABqBLwXe10jIQGAl_70QSaUTVAjq9rvLIH8t9vWkcIxSygCRNguQrHCDaIdsAYylWjYN_6yOd7eMjySWgL8NUYzRkVckA==,gAAAAABqBLwX0d6rGiek51TyVZkmfM7p-C2V6_MgnRim2K_FShAEHLX127jqC0rc5wgHD897VXhtwxzu2cUePq51hI5H_qYI5-dUhYCd6dMoZTScqYUWH-c=
9,Paula Leon,paula.leon@email.com,Analisis de Datos II,4.1,7.3,2.9,6.0,7.0,90,17,5,52,5,0,5.46,Estable,gAAAAABqBLwXLw9oQgaiuSNAjGfoNnx2AdCCTmS7zheI4KPr8d2zJcSMBmd30M5ZNAb3yiS2P5KCKrZ8I2AQlZ8xirFNp4md3g==,gAAAAABqBLwXf00WxKqRkUolClslPhjZkxwb37Dwm-byneneLQ7zfqz-kADo4eEWzaxXPsO09b537VYAGH8nKITIzTQRZTIIxPRmQEcBoIoigQ14dhPw8a8=
10,Oscar Garcia,oscar.garcia@email.com,Analisis de Datos II,5.1,3.0,8.0,5.4,9.6,38,18,8,85,5,1,6.22,En riesgo,gAAAAABqBLwXbH89w4jBF1s7LS1dVMZjuMnggPRbwm3QSw-En5G4BfIOSjoJc_Fi_rXew6ahytLQujDJf-ZsB93xqU9pCmzOWA==,gAAAAABqBLwXU_fllMXxbMKspPVwqJm5Yos5zbFwiKuHkPMucB7NocjRmp6YJr7BdKhJC1LztCj3mLyRGJF-VapE8jdj-IQLUfv5av79cAigDN8SJRIPITg=
